	DO NOT USE	Batch User	Batch Name	Seq ID	Model Name	Model Description	Model ID (Update Only)	Model Version	Context	Primary Modeling Language	Model Type	Element Name	Element Physical Name	Element Description	Element Type	Characteristic Name	Characteristic Physical Name	Characteristics Order	Characteristic Description	Characteristic Type	Characteristic Min Length	Characteristic Max Length	Characteristic Data Type	Characteristic Mandatory	Characteristics PK?	Characteristic Default	CDE ID	CDE Version	Element Mapping Group (Optional if no CDE is associated)	Comments	Characteristic FK?	FK Element Name	FK Element Name
42		pihl	CRDC Batch 1	43	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	specimen_identifier	specimen_identifier		Node	component_id_value	component_id_value		text	string				No					specimen_identifier				
43		pihl	CRDC Batch 1	44	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	specimen_identifier	specimen_identifier		Node	component_name	component_name		text	string				No					specimen_identifier				
44		pihl	CRDC Batch 1	45	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	study	study		Node	dbGap_study_accession	dbGap_study_accession		text	string				No			11524544.0						
45		pihl	CRDC Batch 1	46	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	study	study		Node	short_name	short_name		text	string				No			11459812.0						
46		pihl	CRDC Batch 1	47	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	study	study		Node	crdc_study_id	crdc_study_id		text	string				No					study				
47		pihl	CRDC Batch 1	48	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	study	study		Node	name	name		text	string				No			11459810.0						
48		pihl	CRDC Batch 1	49	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	subject	subject		Node	taxon	taxon		text	code				No			10543100.0						
49		pihl	CRDC Batch 1	50	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	subject	subject		Node	ethnicity	ethnicity		text	code				No			2192217.0						
50		pihl	CRDC Batch 1	51	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	subject	subject		Node	race	race		text	code				No			2192199.0						
51		pihl	CRDC Batch 1	52	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	subject	subject		Node	cause_of_death	cause_of_death		text	code				No			4783274.0						
52		pihl	CRDC Batch 1	53	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	subject	subject		Node	crdc_subject_id	crdc_subject_id		text	string				No					subject				
53		pihl	CRDC Batch 1	54	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	subject	subject		Node	year_of_birth	year_of_birth		text	date				No					subject				
54		pihl	CRDC Batch 1	55	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	subject_identifier	subject_identifier		Node	component_field_name	component_field_name		text	string				No					subject_identifier				
55		pihl	CRDC Batch 1	56	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	subject_identifier	subject_identifier		Node	component_id_value	component_id_value		text	string				No					subject_identifier				
56		pihl	CRDC Batch 1	57	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	subject_identifier	subject_identifier		Node	component_name	component_name		text	string				No					subject_identifier				
57		pihl	CRDC Batch 1	58	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	treatment	treatment		Node	anatomic_site	anatomic_site		text	code				No			14461856.0						
58		pihl	CRDC Batch 1	59	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	treatment	treatment		Node	type	type		text	code				No					treatment				
59		pihl	CRDC Batch 1	60	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	treatment	treatment		Node	therapy_indicator	therapy_indicator		text	code				No			14713318.0						
